Data,Kurs ?redni,Zmiana
21/07/2023,3.999,0.71
20/07/2023,3.971,0.25
19/07/2023,3.9612,0.41
18/07/2023,3.9451,-0.42
17/07/2023,3.9616,0
14/07/2023,3.9617,-0.27
13/07/2023,3.9724,-1.54
12/07/2023,4.0347,-0.07
11/07/2023,4.0374,-0.63
10/07/2023,4.0632,-1.35
07/07/2023,4.1189,0
06/07/2023,4.1191,0.79
05/07/2023,4.0869,0.57
04/07/2023,4.0636,-0.19
03/07/2023,4.0714,-0.86
30/06/2023,4.1066,0.57
29/06/2023,4.0832,0.28
28/06/2023,4.0719,0.59
27/06/2023,4.0481,-0.46
26/06/2023,4.0669,-0.55
23/06/2023,4.0893,1.4
22/06/2023,4.033,-0.78
21/06/2023,4.0648,0.17
20/06/2023,4.058,-0.25
19/06/2023,4.068,-0.09
16/06/2023,4.0715,-1.18
15/06/2023,4.1203,-0.46
14/06/2023,4.1393,-0.11
13/06/2023,4.1439,0.66
12/06/2023,4.1169,-0.91
09/06/2023,4.1545,-0.82
07/06/2023,4.1887,-0.18
06/06/2023,4.1964,0.07
05/06/2023,4.1933,0.07
02/06/2023,4.1903,-1.17
01/06/2023,4.2399,-0.38
31/05/2023,4.2559,0.75
30/05/2023,4.2242,0.02
29/05/2023,4.2234,0.19
26/05/2023,4.2156,0.39
25/05/2023,4.1994,1.01
24/05/2023,4.1573,-0.15
23/05/2023,4.1634,-0.59
22/05/2023,4.1881,-0.41
19/05/2023,4.2053,0.3
18/05/2023,4.1929,1.02
17/05/2023,4.1504,0.67
16/05/2023,4.1228,-0.63
15/05/2023,4.149,-0.36
12/05/2023,4.1638,0.54
11/05/2023,4.1414,-0.28
10/05/2023,4.1532,-0.19
09/05/2023,4.1609,0.54
08/05/2023,4.1384,-0.55
05/05/2023,4.1612,0.16
04/05/2023,4.1547,-0.66
02/05/2023,4.1823,0.17
28/04/2023,4.1753,0.51
27/04/2023,4.1541,-0.04
26/04/2023,4.1557,-0.22
25/04/2023,4.1649,-0.61
24/04/2023,4.1905,-0.24
21/04/2023,4.2006,-0.04
20/04/2023,4.2024,-0.52
19/04/2023,4.2244,0.22
18/04/2023,4.2151,-0.26
17/04/2023,4.2261,0.52
14/04/2023,4.2042,-0.43
13/04/2023,4.2225,-1.14
12/04/2023,4.2713,-0.48
11/04/2023,4.2917,-0.03
07/04/2023,4.2932,-0.23
06/04/2023,4.3033,0.69
05/04/2023,4.2739,-0.27
04/04/2023,4.2855,-0.73
03/04/2023,4.3168,0.55
